datetime,symbol,open,high,low,close,volume
2022-12-01 18:00:00,NASDAQ:MSFT,254.32,254.51,254.24,254.45,7337.0
2022-12-01 18:05:00,NASDAQ:MSFT,254.49,254.89,254.42,254.81,12626.0
2022-12-01 18:10:00,NASDAQ:MSFT,254.81,255.07,254.72,254.97,13917.0
2022-12-01 18:15:00,NASDAQ:MSFT,254.97,254.99,253.69,253.69,13735.0
2022-12-01 18:20:00,NASDAQ:MSFT,253.64,254.01,253.64,253.73,9377.0
2022-12-01 18:25:00,NASDAQ:MSFT,253.72,254.04,253.72,253.94,7128.0
2022-12-01 18:30:00,NASDAQ:MSFT,253.93,254.28,253.79,254.01,8706.0
2022-12-01 18:35:00,NASDAQ:MSFT,254.03,254.4,253.98,254.17,9275.0
2022-12-01 18:40:00,NASDAQ:MSFT,254.19,254.68,254.19,254.55,6235.0
2022-12-01 18:45:00,NASDAQ:MSFT,254.56,254.8,254.41,254.63,7159.0
2022-12-01 18:50:00,NASDAQ:MSFT,254.63,254.65,254.48,254.58,6808.0
2022-12-01 18:55:00,NASDAQ:MSFT,254.6,254.74,254.46,254.49,7082.0
2022-12-01 19:00:00,NASDAQ:MSFT,254.45,254.51,254.11,254.16,7198.0
2022-12-01 19:05:00,NASDAQ:MSFT,254.32,254.49,254.16,254.37,5938.0
2022-12-01 19:10:00,NASDAQ:MSFT,254.39,254.66,254.37,254.66,5000.0
2022-12-01 19:15:00,NASDAQ:MSFT,254.62,255.0,254.52,254.89,10361.0
2022-12-01 19:20:00,NASDAQ:MSFT,254.87,255.24,254.86,255.23,12359.0
2022-12-01 19:25:00,NASDAQ:MSFT,255.23,255.34,255.04,255.17,9207.0
2022-12-01 19:30:00,NASDAQ:MSFT,255.15,255.35,254.95,255.34,11071.0
2022-12-01 19:35:00,NASDAQ:MSFT,255.36,255.36,255.01,255.26,6849.0
2022-12-01 19:40:00,NASDAQ:MSFT,255.24,255.53,255.16,255.27,8254.0
2022-12-01 19:45:00,NASDAQ:MSFT,255.22,255.69,255.21,255.61,11637.0
2022-12-01 19:50:00,NASDAQ:MSFT,255.62,255.91,255.52,255.83,7999.0
2022-12-01 19:55:00,NASDAQ:MSFT,255.86,255.95,255.47,255.77,7925.0
2022-12-01 20:00:00,NASDAQ:MSFT,255.75,255.91,255.72,255.87,5727.0
2022-12-01 20:05:00,NASDAQ:MSFT,255.76,256.11,255.76,256.0,15244.0
